,correlation,p_value,mean_with_step,mean_without_step,days_used,significant
leave_in_conditioner,-0.11335034365810076,0.30459947835014056,11.75,17.105263157894736,8,False
hair_mask,-0.07319273600393544,0.508189596086016,15.333333333333334,17.41176470588235,33,False
scalp_tonic_volumising,0.01584916930473592,0.8862171729415075,17.066666666666666,16.492753623188406,15,False
hair_oil,0.4061425776570457,0.00012649561021771757,21.24,9.764705882352942,50,True
conditioner,0.5186331087215154,4.333669827198122e-07,26.0,11.09433962264151,31,True
shampoo,0.5913928500284069,3.1557935304032395e-09,23.872340425531913,7.351351351351352,47,True
scalp_tonic_antihairfall,0.6521702481716816,1.815095266583607e-11,38.75,12.902777777777779,12,True
