date,day,shed_count,adherence,routine_steps_done,hair_length_inches,scalp_image,image_density_score,breakage_observed,wash_day,hair_products,No,sleep_hours,stress_10,notes
12/20/2025,35,2,FALSE,,,,,,No,,No,9,1,
12/21/2025,36,39,TRUE,"Shampoo, Conditioner, Hair Oil, Scalp Tonic (Anti-Hair Fall)",28.3,,"WEEK 3, 28 (21-40 Sparse)",Yes,Yes,"Luxe Organic Clarifying Shampoo, Luxe Organic Curl Conditioner, Bremod Hair Oil, Naturals Anti-Hair Fall Hair and Scalp Tonic",No,11,2,121 total shed count
12/22/2025,22,6,FALSE,,,,,,No,,No,8,2,
12/23/2025,23,37,TRUE,"Shampoo, Conditioner, Hair Oil, Scalp Tonic (Volumising)",,,,,Yes,"Luxe Organic Curl Conditioner, Bremod Hair Oil, Naturals Volumising Hair and Scalp Tonic, Empress Shampoo",No,3,2,
12/24/2025,24,16,TRUE,"Shampoo, Hair Mask, Hair Oil, Scalp Tonic (Volumising)",,,,,Yes,"Cream Silk Hair Mask, Bremod Hair Oil, Naturals Volumising Hair and Scalp Tonic, Empress Shampoo",No,10,4,
12/25/2025,25,3,FALSE,,,,,,No,,No,9,4,
12/26/2025,26,29,TRUE,"Shampoo, Conditioner, Hair Oil, Scalp Tonic (Volumising)",,,,,Yes,"Luxe Organic Clarifying Shampoo, Luxe Organic Curl Conditioner, Bremod Hair Oil, Naturals Volumising Hair and Scalp Tonic",No,7,8,
12/27/2025,27,5,TRUE,"Leave in Conditioner, Hair Oil",,,,,No,"Zenutrients Leave in Conditioner, Bremod Hair Oil",No,7,2,
12/28/2025,28,29,TRUE,"Shampoo, Conditioner, Scalp Tonic (Volumising), Hair Oil",28.5,,"WEEK 4, 32 (21-40 Sparse)",Yes,Yes,"Luxe Organic Clarifying Shampoo, Luxe Organic Curl Conditioner, Bremod Hair Oil, Naturals Volumising Hair and Scalp Tonic",No,6,2,125 total shed count
12/29/2025,29,5,FALSE,Hair Oil,,,,,No,Bremod Hair Oil,No,7,3,
12/30/2025,30,12,FALSE,"Shampoo, Conditioner",,,,,Yes,"Palmolive Shampoo, Dove Conditioner",No,8,3,
12/31/2025,31,7,FALSE,,,,,,No,,No,6,1,
1/1/2026,32,32,FALSE,"Shampoo, Conditioner, Hair Oil",,,,,Yes,"Empress Shampoo, Cream Silk Hair Mask, Bremod Hair Oil",No,8,2,
1/2/2026,33,5,FALSE,,,,,,No,,No,6,4,
1/3/2026,34,19,FALSE,"Shampoo, Conditioner, Hair Oil",,,,,Yes,"Luxe Organic Clarifying Shampoo, Luxe Organic Curl Conditioner, Bremod Hair Oil",No,14,3,
1/4/2026,35,3,FALSE,"Shampoo, Hair Mask, Hair Oil",28.8,,"WEEK 5, 30 (21-40 Sparse)",No,Yes,"Empress Shampoo, Cream Silk Hair Mask, Bremod Hair Oil",No,11,5,83 total shed count
1/5/2026,36,45,FALSE,"Shampoo, Hair Oil, Conditioner",,,,,Yes,"Luxe Organic Clarifying Shampoo, Luxe Organic Curl Conditioner, Bremod Hair Oil",No,6,4,
1/6/2026,37,11,FALSE,"Shampoo, Hair Oil, Hair Mask",,,,,Yes,"Empress Shampoo, Cream Silk Hair Mask, Bremod Hair Oil",No,8,3,
1/7/2026,38,11,FALSE,"Shampoo, Hair Mask, Hair Oil",,,,,Yes,"Empress Shampoo, Cream Silk Hair Mask, Bremod Hair Oil",No,8,1,
1/8/2026,39,13,FALSE,"Shampoo, Hair Mask, Hair Oil",,,,,Yes,"Empress Shampoo, Cream Silk Hair Mask, Bremod Hair Oil",No,4,5,
1/9/2026,40,17,FALSE,"Shampoo, Hair Mask, Hair Oil",,,,,Yes,"Empress Shampoo, Cream Silk Hair Mask, Bremod Hair Oil",No,3,2,
1/10/2026,41,5,FALSE,,,,,,No,,No,12,2,
1/11/2026,42,2,FALSE,,28.9,,"WEEK 6, 25 (21-40 Sparse)",No,No,,No,9,3,104 total shed count
1/12/2026,43,16,FALSE,"Shampoo, Hair Mask, Hair Oil",,,,,Yes,"Empress Shampoo, Cream Silk Hair Mask, Bremod Hair Oil",No,3,4,
1/13/2026,43,9,FALSE,"Hair Mask, Hair Oil",,,,,No,"Cream Silk Hair Mask, Bremod Hair Oil",No,6,6,
1/14/2026,44,57,FALSE,"Shampoo, Hair Mask, Hair Oil, Scalp Tonic (Volumising)",,,,,Yes,"Luxe Organic Clarifying Shampoo, Cream Silk Hair Mask, Bremod Hair Oil, Naturals Volumising Hair and Scalp Tonic",No,8,8,
1/15/2026,45,11,FALSE,"Shampoo, Hair Mask, Hair Oil",,,,,Yes,"Empress Shampoo, Cream Silk Hair Mask, Bremod Hair Oil",No,8,7,
1/16/2026,46,9,FALSE,"Shampoo, Hair Mask, Hair Oil",,,,,Yes,"Empress Shampoo, Cream Silk Hair Mask, Bremod Hair Oil",No,5,6,
1/17/2026,47,16,FALSE,"Shampoo, Hair Mask",,,,,Yes,"Empress Shampoo, Cream Silk Hair Mask",No,10,8,
1/18/2026,48,47,FALSE,"Shampoo, Conditioner",29,,"WEEK 7, 33 (21-40 Sparse)",Yes,Yes,"Luxe Organic Clarifying Shampoo, Luxe Organic Curl Conditioner",No,8,5,165 total shed count
1/19/2026,49,7,FALSE,"Shampoo, Conditioner",,,,,Yes,"Head and Shoulders Shampoo, Keratin Conditioners",No,7,1,
